run_id,version,outcome,count
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A,valid,30
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A,unparseable,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A,refused,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A,blocked_upstream,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A,truncated,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A,empty,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A,off_format,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A_prime,valid,30
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A_prime,unparseable,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A_prime,refused,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A_prime,blocked_upstream,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A_prime,truncated,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A_prime,empty,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,A_prime,off_format,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,B,valid,30
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,B,unparseable,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,B,refused,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,B,blocked_upstream,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,B,truncated,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,B,empty,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,B,off_format,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,C,valid,29
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,C,unparseable,1
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,C,refused,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,C,blocked_upstream,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,C,truncated,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,C,empty,0
2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,C,off_format,0
