record_type,schema_version,run_id,run_date,protocol_id,rewording_type,subject_model_id,stability_pct,ci_low_pct,ci_high_pct,gap_pct,gap_null_pct,gap_positive_pct,null_floor_pct,at_noise_floor,n,n_valid,n_items,k,entropy_a,entropy_b,u_a,u_a_prime,u_b,u_c,drop_bound_pct_ab,drop_bound_pct_aa,drop_bound_pct_ac,drop_asymmetry_pct_ab,drop_asymmetry_pct_aa,drop_asymmetry_pct_ac,scenario_gaps_pct,scenario_spread_pct,scenario_concentration_pct,outcomes,decisions,flags,gates,on_curve,panel_sha256,protocol_sha256,extractor_sha,analysis_code_sha,schema_sha256,grammar_version,series,lane,twin_id,model_family,returned_model_id,api_surface_sha,condition_profile,replicate_index
measurement,2,2026-09-21__base_rate_neglect__anchoring__v0__claude-sonnet-5__r0,2026-09-21,base_rate_neglect__anchoring__v0,anchoring,claude-sonnet-5,95.287356,71.034483,98.850575,4.712644,3.333333,36.666667,10.249149,True,30,"{""A"": 30, ""A_prime"": 30, ""B"": 29, ""C"": 30}",15,2,0.948078,0.978449,0.0,0.0,0.033333,0.0,3.333333,0.0,0.0,3.333333,0.0,0.0,"{""s01"": 0.0, ""s02"": 0.0, ""s03"": 0.0, ""s04"": 0.0, ""s05"": 0.0, ""s06"": 0.0, ""s07"": 0.0, ""s08"": 0.0, ""s09"": 0.0, ""s10"": 0.0, ""s11"": 0.0, ""s12"": 0.0, ""s13"": 0.0, ""s14"": 0.0, ""s15"": 50.0}","{""iqr"": 0.0, ""max"": 50.0, ""median"": 0.0, ""min"": 0.0, ""q1"": 0.0, ""q3"": 0.0}",100.0,"{""A"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""A_prime"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""B"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 1, ""unparseable"": 0, ""valid"": 29}, ""C"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}}","{""A"": {""A"": 11, ""B"": 19}, ""A_prime"": {""A"": 12, ""B"": 18}, ""B"": {""A"": 12, ""B"": 17}, ""C"": {""A"": 0, ""B"": 30}}","[""drop_confounded"", ""asymmetric_missingness"", ""below_surface_noise"", ""scenario_dominated""]","{""A-A_prime"": {""above_surface_noise"": false, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-B"": {""above_drop_bound"": true, ""asymmetry_ok"": false, ""drop_bound_ok"": false}, ""A-C"": {""asymmetry_ok"": true, ""drop_bound_ok"": true, ""reading"": true}, ""all_passed"": false, ""scenario_dominated"": true, ""unset_thresholds"": []}",False,447595a4bd0c6bd3a3becea4c4b85fe07d362b0dd325498f9e5f073dd85f41ea,357b00c0168ce8d02eeba61209ded2784249d2a8944502cc1c580cdec4c72208,b57ef716390d8dc15ed121f07bde6267b59992c1320521d4643872237e807761,38cdf3c13f382422449198bf490230851dd94a369be20786f95dbebb54f14692,5d12cdd2931b43bb86821b433de70777b4edfe3b246744306d70dd4d64b1cb18,1,commercial,guard,base_rate_neglect__wording__v0,claude-sonnet,claude-sonnet-5,,bare,0
measurement,2,2026-09-21__risky_choice_framing__anchoring__v0__qwen2.5-1.5b-instruct-q4_k_m__r0,2026-09-21,risky_choice_framing__anchoring__v0,anchoring,qwen2.5-1.5b-instruct-q4_k_m,85.714286,71.428571,96.428571,14.285714,0.0,0.0,5.121738,False,30,"{""A"": 30, ""A_prime"": 30, ""B"": 28, ""C"": 29}",15,2,-0.0,0.591673,0.0,0.0,0.066667,0.033333,6.666667,0.0,3.333333,6.666667,0.0,3.333333,"{""s01"": 0.0, ""s02"": 100.0, ""s03"": 0.0, ""s04"": 0.0, ""s05"": 0.0, ""s06"": 0.0, ""s07"": 0.0, ""s08"": 0.0, ""s09"": 0.0, ""s10"": 0.0, ""s11"": 0.0, ""s12"": 100.0, ""s13"": null, ""s14"": 0.0, ""s15"": 0.0}","{""iqr"": 0.0, ""max"": 100.0, ""median"": 0.0, ""min"": 0.0, ""q1"": 0.0, ""q3"": 0.0}",100.0,"{""A"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""A_prime"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""B"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 2, ""valid"": 28}, ""C"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 1, ""valid"": 29}}","{""A"": {""A"": 0, ""B"": 30}, ""A_prime"": {""A"": 0, ""B"": 30}, ""B"": {""A"": 4, ""B"": 24}, ""C"": {""A"": 0, ""B"": 29}}","[""drop_confounded"", ""asymmetric_missingness"", ""not_reading"", ""scenario_dominated""]","{""A-A_prime"": {""above_surface_noise"": true, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-B"": {""above_drop_bound"": true, ""asymmetry_ok"": false, ""drop_bound_ok"": false}, ""A-C"": {""asymmetry_ok"": false, ""drop_bound_ok"": false, ""reading"": false}, ""all_passed"": false, ""scenario_dominated"": true, ""unset_thresholds"": []}",False,90fbe7929d0bf7b69a058309e25b69ac685983ff96b3c60e7d10cdb5415e30f3,17dc0ada6c0f10b0db16f3ee32c48d4b6d2c26ede15344e0afae0ac8b9cc3df3,b57ef716390d8dc15ed121f07bde6267b59992c1320521d4643872237e807761,38cdf3c13f382422449198bf490230851dd94a369be20786f95dbebb54f14692,5d12cdd2931b43bb86821b433de70777b4edfe3b246744306d70dd4d64b1cb18,1,open_weights,guard,risky_choice_framing__wording__v0,qwen2.5,qwen2.5-1.5b-instruct-q4_k_m,,bare,0
measurement,2,2026-09-21__risky_choice_framing__wording__v0__claude-sonnet-5__r0,2026-09-21,risky_choice_framing__wording__v0,wording,claude-sonnet-5,100.0,100.0,100.0,0.0,0.0,96.551724,0.0,True,30,"{""A"": 30, ""A_prime"": 30, ""B"": 30, ""C"": 29}",15,2,-0.0,-0.0,0.0,0.0,0.0,0.033333,0.0,0.0,3.333333,0.0,0.0,3.333333,"{""s01"": 0.0, ""s02"": 0.0, ""s03"": 0.0, ""s04"": 0.0, ""s05"": 0.0, ""s06"": 0.0, ""s07"": 0.0, ""s08"": 0.0, ""s09"": 0.0, ""s10"": 0.0, ""s11"": 0.0, ""s12"": 0.0, ""s13"": 0.0, ""s14"": 0.0, ""s15"": 0.0}","{""iqr"": 0.0, ""max"": 0.0, ""median"": 0.0, ""min"": 0.0, ""q1"": 0.0, ""q3"": 0.0}",,"{""A"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""A_prime"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""B"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""C"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 1, ""valid"": 29}}","{""A"": {""A"": 30, ""B"": 0}, ""A_prime"": {""A"": 30, ""B"": 0}, ""B"": {""A"": 30, ""B"": 0}, ""C"": {""A"": 1, ""B"": 28}}","[""drop_confounded"", ""asymmetric_missingness"", ""below_drop_bound"", ""below_surface_noise"", ""degenerate_candidate""]","{""A-A_prime"": {""above_surface_noise"": false, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-B"": {""above_drop_bound"": false, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-C"": {""asymmetry_ok"": false, ""drop_bound_ok"": false, ""reading"": true}, ""all_passed"": false, ""scenario_dominated"": false, ""unset_thresholds"": []}",False,e129c4f97d1eea6defe9d622fb5bf81151453b13f6a801fcb2bd115e618ab375,9dc1f0782fb55de8b1244090d175a033193734424220b7d35ef3e0af9035cec3,b57ef716390d8dc15ed121f07bde6267b59992c1320521d4643872237e807761,51351561e05811c465488031cb0b7ef057ba9968e839ab66aa15ff86a784490d,5d12cdd2931b43bb86821b433de70777b4edfe3b246744306d70dd4d64b1cb18,1,commercial,open,risky_choice_framing__anchoring__v0,claude-sonnet,claude-sonnet-5,,bare,0
measurement,2,2026-09-22__base_rate_neglect__anchoring__v0__claude-sonnet-5__r0,2026-09-22,base_rate_neglect__anchoring__v0,anchoring,claude-sonnet-5,91.264368,67.126437,98.62069,8.735632,0.0,46.666667,10.455471,True,30,"{""A"": 30, ""A_prime"": 30, ""B"": 29, ""C"": 30}",15,2,0.996792,0.957553,0.0,0.0,0.033333,0.0,3.333333,0.0,0.0,3.333333,0.0,0.0,"{""s01"": 0.0, ""s02"": 0.0, ""s03"": 100.0, ""s04"": 50.0, ""s05"": 0.0, ""s06"": 0.0, ""s07"": 50.0, ""s08"": 0.0, ""s09"": 0.0, ""s10"": 0.0, ""s11"": 0.0, ""s12"": 50.0, ""s13"": 0.0, ""s14"": 0.0, ""s15"": 0.0}","{""iqr"": 50.0, ""max"": 100.0, ""median"": 0.0, ""min"": 0.0, ""q1"": 0.0, ""q3"": 50.0}",60.0,"{""A"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""A_prime"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""B"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 1, ""valid"": 29}, ""C"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}}","{""A"": {""A"": 14, ""B"": 16}, ""A_prime"": {""A"": 14, ""B"": 16}, ""B"": {""A"": 11, ""B"": 18}, ""C"": {""A"": 0, ""B"": 30}}","[""drop_confounded"", ""asymmetric_missingness"", ""scenario_dominated""]","{""A-A_prime"": {""above_surface_noise"": true, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-B"": {""above_drop_bound"": true, ""asymmetry_ok"": false, ""drop_bound_ok"": false}, ""A-C"": {""asymmetry_ok"": true, ""drop_bound_ok"": true, ""reading"": true}, ""all_passed"": false, ""scenario_dominated"": true, ""unset_thresholds"": []}",False,447595a4bd0c6bd3a3becea4c4b85fe07d362b0dd325498f9e5f073dd85f41ea,357b00c0168ce8d02eeba61209ded2784249d2a8944502cc1c580cdec4c72208,b57ef716390d8dc15ed121f07bde6267b59992c1320521d4643872237e807761,a9ecc06b9a2c91946e82d2100bcb84c0aa30bf53ef2a6ac9faf99d817265dac5,5d12cdd2931b43bb86821b433de70777b4edfe3b246744306d70dd4d64b1cb18,1,commercial,guard,base_rate_neglect__wording__v0,claude-sonnet,claude-sonnet-5,,bare,0
measurement,2,2026-09-22__base_rate_neglect__default__v0__claude-sonnet-5__r0,2026-09-22,base_rate_neglect__default__v0,default,claude-sonnet-5,60.0,40.0,83.333333,40.0,6.666667,53.333333,9.385333,False,30,"{""A"": 30, ""A_prime"": 30, ""B"": 30, ""C"": 29}",15,2,0.996792,0.56651,0.0,0.0,0.0,0.033333,0.0,0.0,3.333333,0.0,0.0,3.333333,"{""s01"": 0.0, ""s02"": 50.0, ""s03"": 50.0, ""s04"": 50.0, ""s05"": 100.0, ""s06"": 50.0, ""s07"": 0.0, ""s08"": 50.0, ""s09"": 50.0, ""s10"": 50.0, ""s11"": 50.0, ""s12"": 0.0, ""s13"": 0.0, ""s14"": 0.0, ""s15"": 100.0}","{""iqr"": 50.0, ""max"": 100.0, ""median"": 50.0, ""min"": 0.0, ""q1"": 0.0, ""q3"": 50.0}",33.333333,"{""A"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""A_prime"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""B"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""C"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 1, ""valid"": 29}}","{""A"": {""A"": 16, ""B"": 14}, ""A_prime"": {""A"": 18, ""B"": 12}, ""B"": {""A"": 4, ""B"": 26}, ""C"": {""A"": 0, ""B"": 29}}","[""drop_confounded"", ""asymmetric_missingness""]","{""A-A_prime"": {""above_surface_noise"": true, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-B"": {""above_drop_bound"": true, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-C"": {""asymmetry_ok"": false, ""drop_bound_ok"": false, ""reading"": true}, ""all_passed"": false, ""scenario_dominated"": false, ""unset_thresholds"": []}",False,bd0f47472e5afa5046905d8b5419225575cf5f9f0e1ae43b94fc21c185a980a6,d60cf48fe161a555b6c545c40ad69e12709f4096154af4fc20a4ba1954db5ac8,b57ef716390d8dc15ed121f07bde6267b59992c1320521d4643872237e807761,a9ecc06b9a2c91946e82d2100bcb84c0aa30bf53ef2a6ac9faf99d817265dac5,5d12cdd2931b43bb86821b433de70777b4edfe3b246744306d70dd4d64b1cb18,1,commercial,guard,,claude-sonnet,claude-sonnet-5,,bare,0
measurement,2,2026-09-22__base_rate_neglect__order__v0__claude-sonnet-5__r0,2026-09-22,base_rate_neglect__order__v0,order,claude-sonnet-5,96.666667,70.0,100.0,3.333333,3.333333,36.666667,10.074667,True,30,"{""A"": 30, ""A_prime"": 30, ""B"": 30, ""C"": 29}",15,2,0.948078,0.918296,0.0,0.0,0.0,0.033333,0.0,0.0,3.333333,0.0,0.0,3.333333,"{""s01"": 0.0, ""s02"": 0.0, ""s03"": 50.0, ""s04"": 0.0, ""s05"": 50.0, ""s06"": 0.0, ""s07"": 50.0, ""s08"": 0.0, ""s09"": 0.0, ""s10"": 0.0, ""s11"": 0.0, ""s12"": 0.0, ""s13"": 0.0, ""s14"": 0.0, ""s15"": 0.0}","{""iqr"": 0.0, ""max"": 50.0, ""median"": 0.0, ""min"": 0.0, ""q1"": 0.0, ""q3"": 0.0}",66.666667,"{""A"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""A_prime"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""B"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""C"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 1, ""valid"": 29}}","{""A"": {""A"": 11, ""B"": 19}, ""A_prime"": {""A"": 12, ""B"": 18}, ""B"": {""A"": 10, ""B"": 20}, ""C"": {""A"": 0, ""B"": 29}}","[""drop_confounded"", ""asymmetric_missingness"", ""below_surface_noise"", ""scenario_dominated""]","{""A-A_prime"": {""above_surface_noise"": false, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-B"": {""above_drop_bound"": true, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-C"": {""asymmetry_ok"": false, ""drop_bound_ok"": false, ""reading"": true}, ""all_passed"": false, ""scenario_dominated"": true, ""unset_thresholds"": []}",False,815af16e320c402cee80639314f1674b502b079d23c764308ed296cdda7d9b88,6f8cdee0f672bdb717a9c6f4c1a96143a3ecca6cc3940c0dcde049c4435f31a6,b57ef716390d8dc15ed121f07bde6267b59992c1320521d4643872237e807761,a9ecc06b9a2c91946e82d2100bcb84c0aa30bf53ef2a6ac9faf99d817265dac5,5d12cdd2931b43bb86821b433de70777b4edfe3b246744306d70dd4d64b1cb18,1,commercial,guard,,claude-sonnet,claude-sonnet-5,,bare,0
measurement,2,2026-09-22__base_rate_neglect__wording__v0__claude-sonnet-5__r0,2026-09-22,base_rate_neglect__wording__v0,wording,claude-sonnet-5,90.0,66.666667,100.0,10.0,0.0,33.333333,10.124,True,30,"{""A"": 30, ""A_prime"": 30, ""B"": 30, ""C"": 30}",15,2,0.918296,0.987138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""s01"": 0.0, ""s02"": 0.0, ""s03"": 50.0, ""s04"": 50.0, ""s05"": 0.0, ""s06"": 0.0, ""s07"": 0.0, ""s08"": 0.0, ""s09"": 0.0, ""s10"": 0.0, ""s11"": 0.0, ""s12"": 50.0, ""s13"": 0.0, ""s14"": 0.0, ""s15"": 0.0}","{""iqr"": 0.0, ""max"": 50.0, ""median"": 0.0, ""min"": 0.0, ""q1"": 0.0, ""q3"": 0.0}",66.666667,"{""A"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""A_prime"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""B"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""C"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}}","{""A"": {""A"": 10, ""B"": 20}, ""A_prime"": {""A"": 10, ""B"": 20}, ""B"": {""A"": 13, ""B"": 17}, ""C"": {""A"": 0, ""B"": 30}}","[""scenario_dominated""]","{""A-A_prime"": {""above_surface_noise"": true, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-B"": {""above_drop_bound"": true, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-C"": {""asymmetry_ok"": true, ""drop_bound_ok"": true, ""reading"": true}, ""all_passed"": false, ""scenario_dominated"": true, ""unset_thresholds"": []}",False,9ba4fda1f2a7e335010bbe09b07492ccc3c93ff36bbeefda3bf32c7aadf3aebd,a324708778553c174ba1538a5dc431cd09aaae4b835f522d1a6c24362b6226f0,b57ef716390d8dc15ed121f07bde6267b59992c1320521d4643872237e807761,a9ecc06b9a2c91946e82d2100bcb84c0aa30bf53ef2a6ac9faf99d817265dac5,5d12cdd2931b43bb86821b433de70777b4edfe3b246744306d70dd4d64b1cb18,1,commercial,open,base_rate_neglect__anchoring__v0,claude-sonnet,claude-sonnet-5,,bare,0
measurement,2,2026-09-22__risky_choice_framing__anchoring__v0__claude-sonnet-5__r0,2026-09-22,risky_choice_framing__anchoring__v0,anchoring,claude-sonnet-5,100.0,100.0,100.0,0.0,0.0,100.0,0.0,True,30,"{""A"": 30, ""A_prime"": 30, ""B"": 30, ""C"": 30}",15,2,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""s01"": 0.0, ""s02"": 0.0, ""s03"": 0.0, ""s04"": 0.0, ""s05"": 0.0, ""s06"": 0.0, ""s07"": 0.0, ""s08"": 0.0, ""s09"": 0.0, ""s10"": 0.0, ""s11"": 0.0, ""s12"": 0.0, ""s13"": 0.0, ""s14"": 0.0, ""s15"": 0.0}","{""iqr"": 0.0, ""max"": 0.0, ""median"": 0.0, ""min"": 0.0, ""q1"": 0.0, ""q3"": 0.0}",,"{""A"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""A_prime"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""B"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""C"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}}","{""A"": {""A"": 30, ""B"": 0}, ""A_prime"": {""A"": 30, ""B"": 0}, ""B"": {""A"": 30, ""B"": 0}, ""C"": {""A"": 0, ""B"": 30}}","[""below_drop_bound"", ""below_surface_noise"", ""degenerate_candidate""]","{""A-A_prime"": {""above_surface_noise"": false, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-B"": {""above_drop_bound"": false, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-C"": {""asymmetry_ok"": true, ""drop_bound_ok"": true, ""reading"": true}, ""all_passed"": false, ""scenario_dominated"": false, ""unset_thresholds"": []}",False,90fbe7929d0bf7b69a058309e25b69ac685983ff96b3c60e7d10cdb5415e30f3,17dc0ada6c0f10b0db16f3ee32c48d4b6d2c26ede15344e0afae0ac8b9cc3df3,b57ef716390d8dc15ed121f07bde6267b59992c1320521d4643872237e807761,a9ecc06b9a2c91946e82d2100bcb84c0aa30bf53ef2a6ac9faf99d817265dac5,5d12cdd2931b43bb86821b433de70777b4edfe3b246744306d70dd4d64b1cb18,1,commercial,guard,risky_choice_framing__wording__v0,claude-sonnet,claude-sonnet-5,,bare,0
measurement,2,2026-09-22__risky_choice_framing__default__v0__claude-sonnet-5__r0,2026-09-22,risky_choice_framing__default__v0,default,claude-sonnet-5,100.0,100.0,100.0,0.0,0.0,100.0,0.0,True,30,"{""A"": 30, ""A_prime"": 30, ""B"": 30, ""C"": 30}",15,2,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""s01"": 0.0, ""s02"": 0.0, ""s03"": 0.0, ""s04"": 0.0, ""s05"": 0.0, ""s06"": 0.0, ""s07"": 0.0, ""s08"": 0.0, ""s09"": 0.0, ""s10"": 0.0, ""s11"": 0.0, ""s12"": 0.0, ""s13"": 0.0, ""s14"": 0.0, ""s15"": 0.0}","{""iqr"": 0.0, ""max"": 0.0, ""median"": 0.0, ""min"": 0.0, ""q1"": 0.0, ""q3"": 0.0}",,"{""A"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""A_prime"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""B"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""C"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}}","{""A"": {""A"": 30, ""B"": 0}, ""A_prime"": {""A"": 30, ""B"": 0}, ""B"": {""A"": 30, ""B"": 0}, ""C"": {""A"": 0, ""B"": 30}}","[""below_drop_bound"", ""below_surface_noise"", ""degenerate_candidate""]","{""A-A_prime"": {""above_surface_noise"": false, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-B"": {""above_drop_bound"": false, ""asymmetry_ok"": true, ""drop_bound_ok"": true}, ""A-C"": {""asymmetry_ok"": true, ""drop_bound_ok"": true, ""reading"": true}, ""all_passed"": false, ""scenario_dominated"": false, ""unset_thresholds"": []}",False,86823a8be9945b9a019261cd08e063156563df5adbaf78186ff8f388c07e88cf,ee8aa53b130ed2f35168b6fe022286a1f6cc0aa301c3661d5874491ceb1ab39f,b57ef716390d8dc15ed121f07bde6267b59992c1320521d4643872237e807761,a9ecc06b9a2c91946e82d2100bcb84c0aa30bf53ef2a6ac9faf99d817265dac5,5d12cdd2931b43bb86821b433de70777b4edfe3b246744306d70dd4d64b1cb18,1,commercial,guard,,claude-sonnet,claude-sonnet-5,,bare,0
measurement,2,2026-09-22__risky_choice_framing__default__v0__qwen2.5-1.5b-instruct-q4_k_m__r0,2026-09-22,risky_choice_framing__default__v0,default,qwen2.5-1.5b-instruct-q4_k_m,56.666667,40.0,73.333333,43.333333,0.0,0.0,8.915322,False,30,"{""A"": 29, ""A_prime"": 30, ""B"": 30, ""C"": 28}",15,2,-0.0,0.987138,0.033333,0.0,0.0,0.066667,3.333333,3.333333,10.0,3.333333,3.333333,3.333333,"{""s01"": 0.0, ""s02"": 0.0, ""s03"": 50.0, ""s04"": 100.0, ""s05"": 0.0, ""s06"": 0.0, ""s07"": 0.0, ""s08"": 100.0, ""s09"": 0.0, ""s10"": 100.0, ""s11"": 0.0, ""s12"": 0.0, ""s13"": 100.0, ""s14"": 100.0, ""s15"": 100.0}","{""iqr"": 100.0, ""max"": 100.0, ""median"": 0.0, ""min"": 0.0, ""q1"": 0.0, ""q3"": 100.0}",30.769231,"{""A"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 1, ""valid"": 29}, ""A_prime"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""B"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 0, ""valid"": 30}, ""C"": {""blocked_upstream"": 0, ""empty"": 0, ""off_format"": 0, ""refused"": 0, ""truncated"": 0, ""unparseable"": 2, ""valid"": 28}}","{""A"": {""A"": 0, ""B"": 29}, ""A_prime"": {""A"": 0, ""B"": 30}, ""B"": {""A"": 13, ""B"": 17}, ""C"": {""A"": 0, ""B"": 28}}","[""drop_confounded"", ""asymmetric_missingness"", ""not_reading""]","{""A-A_prime"": {""above_surface_noise"": true, ""asymmetry_ok"": false, ""drop_bound_ok"": false}, ""A-B"": {""above_drop_bound"": true, ""asymmetry_ok"": false, ""drop_bound_ok"": false}, ""A-C"": {""asymmetry_ok"": false, ""drop_bound_ok"": false, ""reading"": false}, ""all_passed"": false, ""scenario_dominated"": false, ""unset_thresholds"": []}",False,86823a8be9945b9a019261cd08e063156563df5adbaf78186ff8f388c07e88cf,ee8aa53b130ed2f35168b6fe022286a1f6cc0aa301c3661d5874491ceb1ab39f,b57ef716390d8dc15ed121f07bde6267b59992c1320521d4643872237e807761,a9ecc06b9a2c91946e82d2100bcb84c0aa30bf53ef2a6ac9faf99d817265dac5,5d12cdd2931b43bb86821b433de70777b4edfe3b246744306d70dd4d64b1cb18,1,open_weights,guard,,qwen2.5,qwen2.5-1.5b-instruct-q4_k_m,,bare,0
